Date;Stock;Open;High;Low;Close;Adj Close;Volume
2020-01-01;Nikkei_225;23319.759766;24115.949219;22892.949219;23205.179688;23205.179688;1133600000
2020-02-01;Nikkei_225;22874.269531;23995.369141;20916.400391;21142.960938;21142.960938;1396200000
2020-03-01;Nikkei_225;20849.789063;21719.779297;16358.190430;18917.009766;18917.009766;3101700000
2020-04-01;Nikkei_225;18686.119141;20365.890625;17646.500000;20193.689453;20193.689453;1837200000
2020-05-01;Nikkei_225;19991.970703;21955.439453;19448.929688;21877.890625;21877.890625;1539400000
2020-06-01;Nikkei_225;21910.890625;23185.849609;21529.830078;22288.140625;22288.140625;1754000000
2020-07-01;Nikkei_225;22338.300781;22965.560547;21710.000000;21710.000000;21710.000000;1454700000
2020-08-01;Nikkei_225;21947.580078;23431.039063;21919.830078;23139.759766;23139.759766;1357300000
2020-09-01;Nikkei_225;23089.630859;23622.740234;22878.710938;23185.119141;23185.119141;1362400000
2020-10-01;Nikkei_225;23184.929688;23725.580078;22948.470703;22977.130859;22977.130859;1148600000
2020-11-01;Nikkei_225;23110.740234;26834.199219;23096.789063;26433.619141;26433.619141;1614800000
2020-12-01;Nikkei_225;26624.199219;27602.519531;26327.080078;27444.169922;27444.169922;1340300000
2021-01-01;Nikkei_225;27575.570313;28979.529297;27002.179688;27663.390625;27663.390625;1388600000
2021-02-01;Nikkei_225;27649.070313;30714.519531;27649.070313;28966.009766;28966.009766;1406000000
2021-03-01;Nikkei_225;29419.449219;30485.000000;28308.570313;29178.800781;29178.800781;1956500000
2021-04-01;Nikkei_225;29441.910156;30208.890625;28419.839844;28812.630859;28812.630859;1231300000
2021-05-01;Nikkei_225;29024.009766;29685.410156;27385.029297;28860.080078;28860.080078;1313600000
2021-06-01;Nikkei_225;28998.650391;29480.849609;27795.859375;28791.529297;28791.529297;1258700000
2021-07-01;Nikkei_225;28832.410156;28852.310547;27272.490234;27283.589844;27283.589844;1108100000
2021-08-01;Nikkei_225;27493.320313;28279.800781;26954.810547;28089.539063;28089.539063;1235400000
2021-09-01;Nikkei_225;28179.039063;30795.779297;28179.039063;29452.660156;29452.660156;1561500000
2021-10-01;Nikkei_225;29235.109375;29489.109375;27293.619141;28892.689453;28892.689453;1601900000
2021-11-01;Nikkei_225;29330.679688;29960.929688;27819.140625;27821.759766;27821.759766;1433700000
2021-12-01;Nikkei_225;27866.730469;29121.009766;27588.609375;28791.710938;28791.710938;1284100000
2022-01-01;Nikkei_225;29098.410156;29388.160156;26044.519531;27001.980469;27001.980469;1387900000
2022-02-01;Nikkei_225;27167.140625;27880.699219;25775.640625;26526.820313;26526.820313;1390900000
2022-03-01;Nikkei_225;26836.740234;28338.810547;24681.740234;27821.429688;27821.429688;1882500000
2022-04-01;Nikkei_225;27624.109375;27965.939453;26051.039063;26847.900391;26847.900391;1345900000
2022-05-01;Nikkei_225;26851.099609;27463.330078;25688.109375;27279.800781;27279.800781;1582900000
2022-06-01;Nikkei_225;27295.630859;28389.750000;25520.230469;26393.039063;26393.039063;1637700000
2022-07-01;Nikkei_225;26460.710938;28015.679688;25841.750000;27801.640625;27801.640625;1339300000
2022-08-01;Nikkei_225;27813.820313;29222.769531;27530.599609;28091.529297;28091.529297;1397800000
2022-09-01;Nikkei_225;27797.000000;28659.759766;25805.589844;25937.210938;25937.210938;1377200000
2022-10-01;Nikkei_225;25778.949219;27602.990234;25621.960938;27587.460938;27587.460938;1435500000
2022-11-01;Nikkei_225;27614.640625;27692.550781;27032.019531;27527.640625;27527.640625;349200000
2022-11-08;Nikkei_225;27718.839844;27943.269531;27704.640625;27872.109375;27872.109375;0
