Date;Stock;Open;High;Low;Close;Adj Close;Volume
2020-01-01;S_P_500;3244.669922;3337.770020;3214.639893;3225.520020;3225.520020;77104420000
2020-02-01;S_P_500;3235.659912;3393.520020;2855.840088;2954.219971;2954.219971;84292270000
2020-03-01;S_P_500;2974.280029;3136.719971;2191.860107;2584.590088;2584.590088;161801100000
2020-04-01;S_P_500;2498.080078;2954.860107;2447.489990;2912.429932;2912.429932;123163450000
2020-05-01;S_P_500;2869.090088;3068.669922;2766.639893;3044.310059;3044.310059;106799100000
2020-06-01;S_P_500;3038.780029;3233.129883;2965.659912;3100.290039;3100.290039;131044000000
2020-07-01;S_P_500;3105.919922;3279.989990;3101.169922;3271.120117;3271.120117;97197020000
2020-08-01;S_P_500;3288.260010;3514.770020;3284.530029;3500.310059;3500.310059;84402300000
2020-09-01;S_P_500;3507.439941;3588.110107;3209.449951;3363.000000;3363.000000;92084120000
2020-10-01;S_P_500;3385.870117;3549.850098;3233.939941;3269.959961;3269.959961;89737600000
2020-11-01;S_P_500;3296.199951;3645.989990;3279.739990;3621.629883;3621.629883;100977880000
2020-12-01;S_P_500;3645.870117;3760.199951;3633.399902;3756.070068;3756.070068;96056410000
2021-01-01;S_P_500;3764.610107;3870.899902;3662.709961;3714.239990;3714.239990;105548790000
2021-02-01;S_P_500;3731.169922;3950.429932;3725.620117;3811.149902;3811.149902;98596960000
2021-03-01;S_P_500;3842.510010;3994.409912;3723.340088;3972.889893;3972.889893;120863560000
2021-04-01;S_P_500;3992.780029;4218.779785;3992.780029;4181.169922;4181.169922;82869290000
2021-05-01;S_P_500;4191.979980;4238.040039;4056.879883;4204.109863;4204.109863;75155370000
2021-06-01;S_P_500;4216.520020;4302.430176;4164.399902;4297.500000;4297.500000;85705180000
2021-07-01;S_P_500;4300.729980;4429.970215;4233.129883;4395.259766;4395.259766;66496430000
2021-08-01;S_P_500;4406.859863;4537.359863;4367.729980;4522.680176;4522.680176;63217960000
2021-09-01;S_P_500;4528.799805;4545.850098;4305.910156;4307.540039;4307.540039;66268850000
2021-10-01;S_P_500;4317.160156;4608.080078;4278.939941;4605.379883;4605.379883;61874700000
2021-11-01;S_P_500;4610.620117;4743.830078;4560.000000;4567.000000;4567.000000;67520800000
2021-12-01;S_P_500;4602.819824;4808.930176;4495.120117;4766.180176;4766.180176;68699830000
2022-01-01;S_P_500;4778.140137;4818.620117;4222.620117;4515.549805;4515.549805;73279440000
2022-02-01;S_P_500;4519.569824;4595.310059;4114.649902;4373.939941;4373.939941;73167790000
2022-03-01;S_P_500;4363.140137;4637.299805;4157.870117;4530.410156;4530.410156;100978320000
2022-04-01;S_P_500;4540.319824;4593.450195;4124.279785;4131.930176;4131.930176;74784850000
2022-05-01;S_P_500;4130.609863;4307.660156;3810.320068;4132.149902;4132.149902;89128130000
2022-06-01;S_P_500;4149.779785;4177.509766;3636.870117;3785.379883;3785.379883;86799060000
2022-07-01;S_P_500;3781.000000;4140.149902;3721.560059;4130.290039;4130.290039;68021140000
2022-08-01;S_P_500;4112.379883;4325.279785;3954.530029;3955.000000;3955.000000;78088520000
2022-09-01;S_P_500;3936.729980;4119.279785;3584.129883;3585.620117;3585.620117;94312410000
2022-10-01;S_P_500;3609.780029;3905.419922;3491.580078;3871.979980;3871.979980;95823760000
2022-11-01;S_P_500;3901.790039;3911.790039;3698.149902;3806.800049;3806.800049;18347120000
