DATE,Year_ISO,WALCL
1/1/2020,"2020,USA",4173626
1/8/2020,"2020,USA",4149544
1/15/2020,"2020,USA",4175850
1/22/2020,"2020,USA",4145912
1/29/2020,"2020,USA",4151630
2/5/2020,"2020,USA",4166707
2/12/2020,"2020,USA",4182689
2/19/2020,"2020,USA",4171570
2/26/2020,"2020,USA",4158637
3/4/2020,"2020,USA",4241507
3/11/2020,"2020,USA",4311911
3/18/2020,"2020,USA",4668212
3/25/2020,"2020,USA",5254278
4/1/2020,"2020,USA",5811607
4/8/2020,"2020,USA",6083141
4/15/2020,"2020,USA",6367887
4/22/2020,"2020,USA",6573136
4/29/2020,"2020,USA",6655929
5/6/2020,"2020,USA",6721420
5/13/2020,"2020,USA",6934227
5/20/2020,"2020,USA",7037258
5/27/2020,"2020,USA",7097316
6/3/2020,"2020,USA",7165217
6/10/2020,"2020,USA",7168936
6/17/2020,"2020,USA",7094690
6/24/2020,"2020,USA",7082302
7/1/2020,"2020,USA",7009040
7/8/2020,"2020,USA",6920716
7/15/2020,"2020,USA",6958604
7/22/2020,"2020,USA",6964755
7/29/2020,"2020,USA",6949032
8/5/2020,"2020,USA",6945237
8/12/2020,"2020,USA",6957277
8/19/2020,"2020,USA",7010637
8/26/2020,"2020,USA",6990418
9/2/2020,"2020,USA",7017492
9/9/2020,"2020,USA",7010614
9/16/2020,"2020,USA",7064475
9/23/2020,"2020,USA",7093161
9/30/2020,"2020,USA",7056129
10/7/2020,"2020,USA",7074649
10/14/2020,"2020,USA",7151426
10/21/2020,"2020,USA",7177265
10/28/2020,"2020,USA",7146306
11/4/2020,"2020,USA",7157479
11/11/2020,"2020,USA",7175417
11/18/2020,"2020,USA",7243080
11/25/2020,"2020,USA",7216480
12/2/2020,"2020,USA",7222414
12/9/2020,"2020,USA",7242658
12/16/2020,"2020,USA",7362592
12/23/2020,"2020,USA",7404039
12/30/2020,"2020,USA",7363351
1/6/2021,"2021,USA",7334809
1/13/2021,"2021,USA",7333968
1/20/2021,"2021,USA",7414942
1/27/2021,"2021,USA",7404926
2/3/2021,"2021,USA",7410598
2/10/2021,"2021,USA",7442225
2/17/2021,"2021,USA",7557402
2/24/2021,"2021,USA",7590111
3/3/2021,"2021,USA",7557524
3/10/2021,"2021,USA",7579901
3/17/2021,"2021,USA",7693506
3/24/2021,"2021,USA",7719622
3/31/2021,"2021,USA",7688988
4/7/2021,"2021,USA",7708882
4/14/2021,"2021,USA",7793104
4/21/2021,"2021,USA",7820948
4/28/2021,"2021,USA",7780962
5/5/2021,"2021,USA",7810486
5/12/2021,"2021,USA",7830663
5/19/2021,"2021,USA",7922883
5/26/2021,"2021,USA",7903541
6/2/2021,"2021,USA",7935703
6/9/2021,"2021,USA",7952327
6/16/2021,"2021,USA",8064257
6/23/2021,"2021,USA",8101945
6/30/2021,"2021,USA",8078544
7/7/2021,"2021,USA",8097773
7/14/2021,"2021,USA",8201651
7/21/2021,"2021,USA",8240530
7/28/2021,"2021,USA",8221473
8/4/2021,"2021,USA",8235073
8/11/2021,"2021,USA",8257159
8/18/2021,"2021,USA",8342598
8/25/2021,"2021,USA",8332743
9/1/2021,"2021,USA",8349173
9/8/2021,"2021,USA",8357314
9/15/2021,"2021,USA",8448770
9/22/2021,"2021,USA",8489824
9/29/2021,"2021,USA",8447981
10/6/2021,"2021,USA",8464032
10/13/2021,"2021,USA",8480942
10/20/2021,"2021,USA",8564943
10/27/2021,"2021,USA",8556181
11/3/2021,"2021,USA",8574871
11/10/2021,"2021,USA",8663117
11/17/2021,"2021,USA",8674970
11/24/2021,"2021,USA",8681771
12/1/2021,"2021,USA",8650402
12/8/2021,"2021,USA",8664524
12/15/2021,"2021,USA",8756666
12/22/2021,"2021,USA",8790495
12/29/2021,"2021,USA",8757460
1/5/2022,"2022,USA",8765721
1/12/2022,"2022,USA",8788278
1/19/2022,"2022,USA",8867834
1/26/2022,"2022,USA",8860485
2/2/2022,"2022,USA",8873211
2/9/2022,"2022,USA",8878009
2/16/2022,"2022,USA",8911033
2/23/2022,"2022,USA",8928129
3/2/2022,"2022,USA",8904455
3/9/2022,"2022,USA",8910748
3/16/2022,"2022,USA",8954306
3/23/2022,"2022,USA",8962474
3/30/2022,"2022,USA",8937142
4/6/2022,"2022,USA",8937592
4/13/2022,"2022,USA",8965487
4/20/2022,"2022,USA",8955851
4/27/2022,"2022,USA",8939199
5/4/2022,"2022,USA",8939972
5/11/2022,"2022,USA",8942008
5/18/2022,"2022,USA",8945898
5/25/2022,"2022,USA",8914281
6/1/2022,"2022,USA",8915050
6/8/2022,"2022,USA",8918254
6/15/2022,"2022,USA",8932420
6/22/2022,"2022,USA",8934346
6/29/2022,"2022,USA",8913553
7/6/2022,"2022,USA",8891851
7/13/2022,"2022,USA",8895867
7/20/2022,"2022,USA",8899213
7/27/2022,"2022,USA",8890004
8/3/2022,"2022,USA",8874620
8/10/2022,"2022,USA",8879138
8/17/2022,"2022,USA",8849762
8/24/2022,"2022,USA",8851436
8/31/2022,"2022,USA",8826093
9/7/2022,"2022,USA",8822401
9/14/2022,"2022,USA",8832759
9/21/2022,"2022,USA",8816802
9/28/2022,"2022,USA",8795567
10/5/2022,"2022,USA",8759053
10/12/2022,"2022,USA",8758969
10/19/2022,"2022,USA",8743922
10/26/2022,"2022,USA",8723090
11/2/2022,"2022,USA",8676870
11/9/2022,"2022,USA",8678886
